id,Internship_title,Company,Location,Location_1,Duration(Months),Stipend_given(perMonth),Skills_required,Skills_required_1
63,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Tableau
64,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Tableau
65,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Amazon Web Services (AWS)
66,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Amazon Web Services (AWS)
67,Data Science,Techieyan Technologies,Hyderabad,Hyderabad,6,5000,Python,Python
68,Business Analytics,GoMechanic,Gurgaon,Gurgaon,3,15000,"Python, SQL, MS-Excel, Tableau",Python
69,Business Analytics,GoMechanic,Gurgaon,Gurgaon,3,15000,"Python, SQL, MS-Excel, Tableau",MySQL
70,Business Analytics,GoMechanic,Gurgaon,Gurgaon,3,15000,"Python, SQL, MS-Excel, Tableau",MS-Excel
71,Business Analytics,GoMechanic,Gurgaon,Gurgaon,3,15000,"Python, SQL, MS-Excel, Tableau",Tableau
72,Data Analytics,Wavteq India Research & Advisory Private Limited,Bangalore,Bangalore,3,10000,MS-Excel,MS-Excel
73,AI/Machine Learning,Wixeey,Work From Home,Work From Home,2,8000-15000,"Machine Learning, Artifical Intelligence",Machine Learning
74,AI/Machine Learning,Wixeey,Work From Home,Work From Home,2,8000-15000,"Machine Learning, Artifical Intelligence",Artifical Intelligence
75,Teaching (Data Science),Build My Project,Work From Home,Work From Home,2,8000,"Machine Learning, Data Science, Internet of Things (IoT), Artifical Intelligence",Machine Learning
76,Teaching (Data Science),Build My Project,Work From Home,Work From Home,2,8000,"Machine Learning, Data Science, Internet of Things (IoT), Artifical Intelligence",Data Science
77,Teaching (Data Science),Build My Project,Work From Home,Work From Home,2,8000,"Machine Learning, Data Science, Internet of Things (IoT), Artifical Intelligence",Internet of Things (IoT)
